tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Sat May 13 23:07:19 +0000 2023,1483681522238767104,Eviaprida11,"Menteri BUMN @erickthohir  bertemu kembali dengan menteri keuangan Qatar syekh ali . Qatar mempunyai niat yg besar untuk meningkatkan investasi di bidang pangan , pariwisata dan perbankan mereka di Indonesia 👍🏽👍🏽

#GanjarErickDuetTerbaik https://t.co/El6zElbFGk",https://twitter.com/Eviaprida11,Eviaprida,https://twitter.com/Eviaprida11/status/1657522941654097921,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sat May 06 02:59:55 +0000 2023,1592138565479149568,4_Golkar,"Airlangga Hartarto: Kenaikan Indeks PMI Jadi Peluang Indonesia Tingkatkan Investasi

#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden

https://t.co/8PC8NUxXjS https://t.co/ltT2cOzRNy",https://twitter.com/4_Golkar,4Golkar,https://twitter.com/4_Golkar/status/1654682376298172417,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Mon May 08 07:01:11 +0000 2023,1060487258963243010,dzaii83,"@ndrer @liminalmilataka Ini scam ini unik, soalnya mereka bener2 ngasih uang asli sekaligus kepercayaan di awal. Kalo scam jadul kan biasanya ngamuk2 jadi polisi, pegawai bank. Ini bener2 kek ada yang jadi korban, intsruktur jobdesk, Kalo orangnya punya pemikiran semua investasi harus balik, kena deh",https://twitter.com/dzaii83,Dzai,https://twitter.com/dzaii83/status/1655467867184447489,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 07 11:28:41 +0000 2023,1608772440393650176,blp_dika,"Trading kripto bareng teman di Ajaib dapat koin kripto GRATIS! Bagikan kode Ajaib kamu untuk dapat 1 Karpet Ajaib &amp; ditukarkan BTC, ETH atau DOGE gratis! @ajaib_investasi #AjaibLuckyFriday.
Kode ajaib: saia9344 https://t.co/R58ZITHgQz",https://twitter.com/blp_dika,DIKA_ BLP,https://twitter.com/blp_dika/status/1655172797633810432,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 07 14:44:49 +0000 2023,1095278812181389312,tolakbigotnkri,Bank Mandiri Targetkan Penyaluran KPR Tumbuh hingga 8%. Investasi properti menjadi salah satu elemen agar masa depanmu memiliki aset. Jangan sampai masa depanmu tak memiliki aset. Bank Mandiri sadar akan hal itu oleh sebab itu memiliki target penyaluran KPR tumbuh hingga 8%. https://t.co/cEjnhkeWCS,https://twitter.com/tolakbigotnkri,#TolakPembodohan,https://twitter.com/tolakbigotnkri/status/1655222156387848192,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 14:11:46 +0000 2023,2287725409,gwabdeeeee,"Pembenahan kelolaan investasi BUMN dianggap @erickthohir hrs segera dilakukan agar kesejahteraan penerima manfaat dpt terjamin.
mrumuskn langkah pembenahan Kementerian BUMN tlh mengeluarkan surat arahan agar perusahaan BUMN menjalankan uji tuntas dana pensiun
#BangkitBersamaET https://t.co/APEcREHdbS",https://twitter.com/gwabdeeeee,I'm Abdeeeeee🇮🇩,https://twitter.com/gwabdeeeee/status/1657025780054884352,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 14:34:37 +0000 2023,1496497420913442816,KennyDeano,"Realisasi investasi IKN Nusantara di bulan Mei
#IbuKotaNegara
#IKNNusantara
#PindahIbuKota https://t.co/HCzpif2u20",https://twitter.com/KennyDeano,Kenny Deano,https://twitter.com/KennyDeano/status/1657031527719378947,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 10:17:35 +0000 2023,1581990138779168768,clairasor,"UU Cipta Kerja akan menjadi regulasi yang bertujuan untuk meningkatkan dan mempercepat pembangunan nasional Hal tersebut akan mendorong peningkatan daya saing produk Indonesia di mata dunia yang berdampak pada potensi naiknya investasi dalam negeri
#UUCiptaKerja #DukungUUCiptaker https://t.co/4Yzk06SL08",https://twitter.com/clairasor,imclay,https://twitter.com/clairasor/status/1657691619125252099,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 07:08:15 +0000 2023,15256823,chaterine_8,"Erick Thohir kembali lakukan terobosan, di akhir bulan ini semua dana pensiun BUMN secara pengelolaan akan disatukan 

Dana pensiun (dapen) BUMN akan dikelola dgn penempatan investasi yg bisa dipertanggungjawabkan &amp; transparan

@erickthohir 
#GanjarErickDuetTerbaik https://t.co/pIseIcHrKV",https://twitter.com/chaterine_8,Chaterine,https://twitter.com/chaterine_8/status/1656919195882520576,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 05 23:28:08 +0000 2023,2355332558,Mira_SasMiita,"Menteri BUMN @erickthohir siapkan langkah transformasi dana pensiun (dapen) BUMN sebagai panduan investasi dapen.

Penggabungan manajemen, bukan dapennya. Krn masing² perusahaan ada dapennya sendiri²

#BangkitBersamaET https://t.co/CUGrTzN79g",https://twitter.com/Mira_SasMiita,Jokowi BangET,https://twitter.com/Mira_SasMiita/status/1654629076794232832,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Wed May 10 15:13:05 +0000 2023,1214585910483808257,Mbooo19,"@Mentimoen lagipula pasar nikel AS dan Eropa juga kecil, jauh lebih besar pasar Asia timur terutama china. Apalagi china juga membantu indonesia untuk hilirisasi produk nikel dengan investasi dan juga membangun pabrik smelter",https://twitter.com/Mbooo19,mbooo1,https://twitter.com/Mbooo19/status/1656316436376338432,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 07 16:52:37 +0000 2023,1609497741599838208,IpanKur12613731,"Trading kripto bareng teman di Ajaib dapat koin kripto GRATIS! Bagikan kode Ajaib kamu untuk dapat 1 Karpet Ajaib &amp; ditukarkan BTC, ETH atau DOGE gratis! @ajaib_investasi #AjaibLuckyFriday. https://t.co/GymwYSJVXf",https://twitter.com/IpanKur12613731,Ipan Kurniawan,https://twitter.com/IpanKur12613731/status/1655254318122168321,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 11:01:25 +0000 2023,1522467763335303168,cyfication,pls semoga tiba tiba ada yg investasi gede ke wakeone biar bisa ngurus zb1 dengan lebih baik🤗 GUE GEDEG SOALNYA KEK MISKIN,https://twitter.com/cyfication,yuccy!! #ThankYouLeeJeonghyeon,https://twitter.com/cyfication/status/1657702650241245184,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 11:21:00 +0000 2023,1541775456784875522,ramdani_reno,"Kerennya-Prabowo08 benar2 paham, gmana cara investasi persatuan yg nimbulin kerja masyarakat biar sejahterain negeri ini.

#YessPrabowo08AdaDiMusra
JadiPilihan Pemilih Jokowi https://t.co/SSvFnTYKS8",https://twitter.com/ramdani_reno,Reno ramdani,https://twitter.com/ramdani_reno/status/1657707580381360129,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Mon May 08 05:33:30 +0000 2023,1627490747607048193,RaspoSanjaya,UU CIPTAKER SEHATKAN INVESTASI https://t.co/twUSNDJhpK,https://twitter.com/RaspoSanjaya,Raspo Sanjaya,https://twitter.com/RaspoSanjaya/status/1655445802503008258,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Mon May 08 13:23:35 +0000 2023,1334741469685399554,25Choisona_,"Investasi dari modal 2 juta won 👉30 juta won, GILA BANGET😵🔥. Meskipun cuma 'Game' tapi Soobin kalau urusan strategi emang jagonya, udah keliatan dari TO DO eps 6 kalau dia bakalan jd ""Diam-diam bergerak menjadi yang teratas"" 
https://t.co/jo1N3VcfTe",https://twitter.com/25Choisona_,최스라🌼,https://twitter.com/25Choisona_/status/1655564100762468355,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Wed May 10 10:29:53 +0000 2023,1101696077147729920,03__nakula,"Menteri Investasi Bahlil Lahadalia pernah mengatakan, Investor masih takut berinvestasi di Indonesia. Investor ingin memastikan presiden berikutnya melanjutkan program² presiden Jokowi.
Pilih Ganjar pranowo yang pasti akan melanjutkan program presiden Jokowi.
#GanjarMenangTotal https://t.co/GqpakHtOy8",https://twitter.com/03__nakula,Nakula,https://twitter.com/03__nakula/status/1656245163944218626,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 07 14:53:25 +0000 2023,1453292046907752459,leellamxrz,@fatmeows menjawab pertanyaan cimol tentang bisnis dan investasi https://t.co/yFm77pjKja,https://twitter.com/leellamxrz,🎏,https://twitter.com/leellamxrz/status/1655224323354017795,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 06:18:12 +0000 2023,1549213979352137728,DaraBudiman,"Masyarakat bisa lihat, investasi berbangsa Kerennya-Prabowo08, jadi membangkitkan kemakmuran dan investasi pada NKRI kita.

#YessPrabowo08AdaDiMusra
JadiPilihan Pemilih Jokowi https://t.co/SfqpriLEVd",https://twitter.com/DaraBudiman,Dara budiman,https://twitter.com/DaraBudiman/status/1657631379319058438,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 03:06:23 +0000 2023,1514584084613595139,itsibitsitazki,Investasi kostan di nangor untungnya banyak,https://twitter.com/itsibitsitazki,tazkiii,https://twitter.com/itsibitsitazki/status/1657583107749613570,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 05:29:37 +0000 2023,943921796,akbarryaz,"Menteri BUMN Erick Thohir melakukan terobosan jitu Dapen BUMN.

@erickthohir menegaskan jika Dapen akan dikelola oleh ahlinya sehingga penempatan investasi bisa dipertanggungjawabkan dan transparan.

#GanjarErickDuetTerbaik https://t.co/UZy3DtDuo5",https://twitter.com/akbarryaz,A,https://twitter.com/akbarryaz/status/1656894373957869568,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 09:00:16 +0000 2023,1481880399450374146,Hsn_attaqy,"Investasi yang meyebalkan  $
.
#hsntaqy",https://twitter.com/Hsn_attaqy,"Tampa Riba,",https://twitter.com/Hsn_attaqy/status/1657672163217002497,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 03:01:58 +0000 2023,1539192657041166336,YuliSugiyanto06,"Support kerjasama antara negara Asean  agar perdagangan Asean semakin kuat untuk mendorong  rantai pasok kawasan dan investasi.

#KTTASEANSUKSES 
@ZUL_Hasan 
@Kemendag https://t.co/ADviV42Aus",https://twitter.com/YuliSugiyanto06,YULI SUGIYANTO,https://twitter.com/YuliSugiyanto06/status/1656857218942394369,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 11:00:01 +0000 2023,1549371094767144961,nisaseptiputr1,"Betul sekali, visi yg Kerennya-Prabowo08 saat ini kerjain, itu seperti investasi buat Indonesia, keuntungannya adalah masyarakat jadi maju.

#YessPrabowo08AdaDiMusra
JadiPilihan Pemilih Jokowi https://t.co/YaBOEKvzBx",https://twitter.com/nisaseptiputr1,nisa septiani putri,https://twitter.com/nisaseptiputr1/status/1657702298645065729,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
